id	choice	rt	condition	state	contrast_left	contrast_right	blocks	contrast	ecoperf	action	con_diff	correct	congruence	slider	mu
900	0	0.5729616	2	0	0.49630829	0.50369171	1	1	0	right	0.00369171	0	1	24.33862516	0.2433862516
900	0	0.2467554	2	1	0.552020561	0.447979439	1	1	1	left	0.052020561	1	1	24.33862516	0.2433862516
900	1	0.3865897	2	0	0.417647058	0.582352942	1	1	1	right	0.082352942	1	1	20.50264478	0.2050264478
900	0	0.3897779	2	1	0.512576885	0.487423115	1	1	1	left	0.012576885	1	1	72.75132281	0.7275132281
900	0	0.2883834	2	1	0.565728719	0.434271281	1	1	1	left	0.065728719	1	1	73.9418	0.739418
900	0	0.3661596	2	1	0.521847139	0.478152861	1	1	1	left	0.021847139	1	1	73.80952452	0.7380952452
900	1	0.6830921	2	1	0.516629511	0.483370489	1	1	0	left	0.016629511	0	1	25.1322759	0.251322759
900	1	0.372018	2	0	0.453478604	0.546521396	1	1	1	right	0.046521396	1	1	18.12169254	0.1812169254
900	1	0.7065784	2	1	0.561755211	0.438244789	1	1	0	left	0.061755211	0	1	44.17989435	0.4417989435
900	0	0.3877397	2	0	0.493061206	0.506938794	1	1	0	right	0.006938794	0	1	19.04761876	0.1904761876
900	1	0.3662248	2	0	0.408822258	0.591177742	1	1	1	right	0.091177742	1	1	32.40740704	0.3240740704
900	1	0.4240492	2	0	0.436652165	0.563347835	1	1	1	left	0.063347835	0	1	62.83068742	0.6283068742
900	0	0.3914289	2	0	0.450466823	0.549533177	1	1	0	right	0.049533177	0	1	18.3862435	0.183862435
900	0	0.3190291	2	1	0.559969037	0.440030963	1	1	1	left	0.059969037	1	1	51.58730163	0.5158730163
900	1	0.2597329	2	0	0.407233075	0.592766925	1	1	1	right	0.092766925	1	1	71.95767207	0.7195767207
900	0	0.2708745	2	1	0.589207349	0.410792651	1	1	1	left	0.089207349	1	1	19.17989424	0.1917989424
900	0	0.2564832	2	1	0.586555797	0.413444203	1	1	1	right	0.086555797	0	1	22.75132367	0.2275132367
900	0	0.370367	2	1	0.527044932	0.472955068	1	1	1	left	0.027044932	1	1	15.47619147	0.1547619147
900	1	0.7840465	2	0	0.439227877	0.560772123	1	1	1	right	0.060772123	1	1	77.24867633	0.7724867633
900	1	0.393749	2	0	0.439168858	0.560831142	1	1	1	right	0.060831142	1	1	18.78306781	0.1878306781
900	0	0.1545216	1	1	0.549377843	0.450622157	2	0	0	right	0.049377843	0	0	11.1111113	0.111111113
900	1	0.2937092	1	1	0.552176679	0.447823321	2	0	1	right	0.052176679	1	0	88.8888887	0.888888887
