id	choice	rt	condition	state	contrast_left	contrast_right	blocks	contrast	ecoperf	action	con_diff	correct	congruence	slider	mu
379	0	0.421184900216758	2	0	0.423861226197448	0.576138773802551	1	1	0	right	0.076138773802551	0	0	63.359788273062	0.63359788273062
379	1	0.570732099935412	2	0	0.462229828758846	0.537770171241153	1	1	1	right	0.037770171241153	1	0	66.0052914704595	0.660052914704595
379	1	0.571687299758195	2	1	0.579442271785771	0.420557728214228	1	1	0	left	0.0794422717857716	0	0	62.9629628998892	0.629629628998892
379	1	0.449091699905693	2	1	0.512608494656497	0.487391505343502	1	1	0	left	0.0126084946564975	0	0	59.2592590621539	0.592592590621539
379	1	0.41710989922285	2	1	0.593446162526851	0.406553837473148	1	1	0	left	0.0934461625268513	0	0	39.5502648183277	0.395502648183277
379	1	0.573461099527776	2	0	0.418707842607948	0.581292157392051	1	1	1	right	0.0812921573920511	1	0	32.2751326220376	0.322751326220376
379	1	0.225027600303292	2	1	0.560049439229345	0.439950560770654	1	1	0	left	0.0600494392293455	0	0	29.232805115836	0.29232805115836
379	0	0.405161299742758	2	1	0.596307396076996	0.403692603923003	1	1	1	left	0.0963073960769962	1	0	24.8677249465669	0.248677249465669
379	0	0.444295099936425	2	0	0.429905992970211	0.570094007029788	1	1	0	right	0.0700940070297885	0	0	16.1375667367662	0.161375667367662
379	1	0.380804799497127	2	0	0.425533581985528	0.574466418014471	1	1	1	right	0.0744664180144715	1	0	9.39153432846069	0.0939153432846069
379	0	0.325540900230407	2	1	0.556632155243022	0.443367844756977	1	1	1	left	0.0566321552430226	1	0	8.20105927331106	0.0820105927331106
379	1	0.531666999682784	2	0	0.404541448058337	0.595458551941662	1	1	1	right	0.0954585519416621	1	0	3.43915479523794	0.0343915479523794
379	0	0.743046499788761	2	0	0.492081825278477	0.507918174721522	1	1	0	left	0.00791817472152209	1	0	3.43915479523794	0.0343915479523794
379	1	0.414250300265848	2	1	0.597126596808826	0.402873403191173	1	1	0	left	0.0971265968088267	0	0	1.32275138582502	0.0132275138582502
