id	choice	rt	condition	state	contrast_left	contrast_right	blocks	contrast	ecoperf	action	con_diff	correct	congruence	slider	mu
620	0	0.4242231	2	0	0.437030191	0.562969809	1	0	1	left	0.062969809	1	0	NaN	NaN
620	1	0.4057597	2	1	0.516694678	0.483305322	1	0	1	right	0.016694678	1	0	0.529098511	0.00529098511
620	1	0.3769099	2	1	0.566231965	0.433768035	1	0	1	left	0.066231965	0	0	24.86772495	0.2486772495
620	0	0.3439948	2	0	0.422230183	0.577769817	1	0	1	right	0.077769817	0	0	49.47089948	0.4947089948
620	0	0.4889428	2	0	0.424610308	0.575389692	1	0	1	left	0.075389692	1	0	24.47089851	0.2447089851
620	1	0.4523752	2	1	0.598389005	0.401610995	1	0	1	right	0.098389005	1	0	13.88888785	0.1388888785
620	0	0.3482166	2	0	0.437835994	0.562164006	1	0	1	left	0.062164006	1	0	11.50793774	0.1150793774
620	1	0.4099705	2	1	0.591615299	0.408384701	1	0	1	right	0.091615299	1	0	7.804232836	0.07804232836
620	1	0.3109027	2	1	0.567237954	0.432762046	1	0	1	right	0.067237954	1	0	5.026456288	0.05026456288
620	0	0.4866179	2	0	0.478020378	0.521979622	1	0	1	left	0.021979622	1	0	1.984128782	0.01984128782
620	1	0.4652331	2	1	0.527963867	0.472036133	1	0	1	right	0.027963867	1	0	1.058200427	0.01058200427
620	0	0.3405421	2	0	0.470268259	0.529731741	1	0	1	left	0.029731741	1	0	0	0
620	1	0.4352851	2	1	0.574595933	0.425404067	1	0	1	right	0.074595933	1	0	0	0
620	0	0.4044491	2	0	0.410406165	0.589593835	1	0	1	left	0.089593835	1	0	0	0
620	0	0.560106	2	0	0.491189211	0.508810789	1	0	1	left	0.008810789	1	0	0	0
620	1	0.5370259	2	1	0.500491821	0.499508179	1	0	1	right	0.000491821	1	0	0	0
620	1	0.7659818	2	1	0.563018432	0.436981568	1	0	1	right	0.063018432	1	0	0	0
620	1	0.3602072	2	0	0.48776987	0.51223013	1	0	0	left	0.01223013	0	0	1.190475907	0.01190475907
620	0	0.3224015	2	0	0.45536817	0.54463183	1	0	1	left	0.04463183	1	0	1.455026865	0.01455026865
620	1	0.3239232	2	1	0.550697688	0.449302312	1	0	1	right	0.050697688	1	0	1.322751386	0.01322751386
620	1	0.4735933	2	1	0.58299649	0.41700351	2	1	0	left	0.08299649	0	1	99.60317271	0.9960317271
620	0	0.5115652	2	1	0.531514626	0.468485374	2	1	1	left	0.031514626	1	1	99.73544819	0.9973544819
620	0	0.6158107	2	0	0.470766279	0.529233721	2	1	0	right	0.029233721	0	1	74.99999957	0.7499999957
620	1	0.3988621	2	0	0.453560739	0.546439261	2	1	1	left	0.046439261	0	1	50.13227513	0.5013227513
620	1	0.4002961	2	0	0.490623561	0.509376439	2	1	1	right	0.009376439	1	1	74.73545074	0.7473545074
620	0	0.5685367	2	0	0.463774629	0.536225371	2	1	0	right	0.036225371	0	1	50.26455026	0.5026455026
620	1	0.3511896	2	0	0.462765333	0.537234667	2	1	1	right	0.037234667	1	1	74.8677241	0.748677241
620	0	0.6301182	2	1	0.565614536	0.434385464	2	1	1	left	0.065614536	1	1	84.92063497	0.8492063497
620	1	0.4231204	2	0	0.480602328	0.519397672	2	1	1	right	0.019397672	1	1	90.74074115	0.9074074115
620	0	0.4380569	2	1	0.593478088	0.406521912	2	1	1	right	0.093478088	0	1	79.89417953	0.7989417953
620	0	0.5290736	2	1	0.538483206	0.461516794	2	1	1	left	0.038483206	1	1	88.62433774	0.8862433774
620	0	0.3261548	2	1	0.581158998	0.418841002	2	1	1	left	0.081158998	1	1	92.19576716	0.9219576716
620	0	0.4229768	2	1	0.575181693	0.424818307	2	1	1	left	0.075181693	1	1	95.76719659	0.9576719659
620	0	0.3484707	2	1	0.535307163	0.464692837	2	1	1	left	0.035307163	1	1	97.8836	0.978836
620	0	0.3173002	2	1	0.574148966	0.425851034	2	1	1	left	0.074148966	1	1	98.41269766	0.9841269766
620	0	0.317749	2	1	0.559734852	0.440265148	2	1	1	left	0.059734852	1	1	99.60317271	0.9960317271
620	1	0.3231224	2	0	0.438089587	0.561910413	2	1	1	right	0.061910413	1	1	99.33862601	0.9933862601
620	1	0.9474014	2	0	0.461364636	0.538635364	2	1	1	right	0.038635364	1	1	99.33862601	0.9933862601
