state,action,reward,state_0,state_1,mu,trials,correct,contrast_diff,subjective_obs,condition,contrast,value_a1,congruence,choice_cond
0,0,1,0.99789846119553,0.00210153880446986,0.665966153731843,1,1,-0.0368421052631579,-0.0902067274385095,NaN,1,0.5,1,1
1,0,0,0.949375108504149,0.0506248914958511,0.523051175010213,2,0,0.0157894736842105,-0.0498685650512152,NaN,1,0.649162116682527,1,1
1,1,1,0.00534150600209971,0.9946584939979,0.626103425721018,3,1,0.0789473684210526,0.0795102501581476,NaN,1,0.477195080969132,1,1
1,1,1,0.00122396944016007,0.99877603055984,0.695017154028205,4,1,0.1,0.0961634652340734,NaN,1,0.374205267757746,1,1
0,0,0,0.787510537517314,0.212489462482686,0.644801498837748,5,1,-0.00526315789473684,-0.0240579334416218,NaN,1,0.612138973559492,1,1
0,0,0,0.975693747287152,0.0243062527128485,0.549943850427396,6,1,-0.0263157894736842,-0.0604025483620532,NaN,1,0.637762335189849,1,1
0,0,1,0.998430961324053,0.00156903867594689,0.609337804490192,7,1,-0.068421052631579,-0.0934454084480955,NaN,1,0.549787122761504,1,1
1,1,1,0.0366097887449879,0.963390211255012,0.653495984941532,8,1,0.068421052631579,0.0546642545853027,NaN,1,0.398667863358261,1,1
0,0,0,0.967518953936547,0.0324810460634534,0.587211858885533,9,1,-0.0263157894736842,-0.0563746365000272,NaN,1,0.64352456462665,1,1
1,1,1,0.0525799913276514,0.947420008672349,0.624371369906249,10,1,0.0263157894736842,0.0492907976453971,NaN,1,0.421959338682207,1,1
0,0,1,0.924425391029544,0.0755746089704559,0.654995274259027,11,1,-0.0157894736842105,-0.0435465310878325,NaN,1,0.605572734610679,1,1
0,0,1,0.997883904149287,0.00211609585071317,0.68533275290585,12,1,-0.0894736842105263,-0.0901296477527654,NaN,1,0.654339304545548,1,1
0,0,1,0.740316385259105,0.259683614740895,0.699865355420564,13,1,-0.0894736842105263,-0.0194141980468631,NaN,1,0.589076994496905,1,1
0,0,1,0.985862164275501,0.0141378357244988,0.723584029216793,14,1,-0.0789473684210526,-0.0675593639854013,NaN,1,0.694214028296655,1,1
0,0,0,0.974764634462184,0.0252353655378157,0.673333133181547,15,1,-0.00526315789473684,-0.0598900132992923,NaN,1,0.712299579805386,1,1
1,1,0,0.216288811312984,0.783711188687016,0.651719122898782,16,1,0.0789473684210526,0.0236634071149483,NaN,1,0.401646901492437,1,1
0,0,1,0.991834367263709,0.00816563273629133,0.675406823511899,17,1,-0.0789473684210526,-0.074418520918715,NaN,1,0.649241357625455,1,1
0,0,1,0.997197708935209,0.00280229106479074,0.696579917791131,18,1,-0.0789473684210526,-0.0869694477272627,NaN,1,0.674423741563438,1,1
1,1,1,0.000295575302217508,0.999704424697782,0.715523267982113,19,1,0.0894736842105263,0.111223280796486,NaN,1,0.303536290546091,1,1
0,0,1,0.715049897947202,0.284950102052798,0.724345161695888,20,1,-0.0157894736842105,-0.017115157763544,NaN,1,0.592696513569602,1,1
0,0,1,0.999682103935351,0.000317896064649064,0.740549364302146,21,1,-0.0894736842105263,-0.110468658694923,NaN,1,0.724202524807836,1,1
1,1,1,0.231727162430882,0.768272837569118,0.74979275526856,22,1,0.0157894736842105,0.0221007957188459,NaN,1,0.370934278926432,1,1
0,0,1,0.994473010501599,0.00552698949840149,0.763526599586502,23,1,-0.0473684210526316,-0.079106653709798,NaN,1,0.747031551398267,1,1
1,1,1,0.289931866956162,0.710068133043838,0.770137068067493,24,1,0.0368421052631579,0.0166740206470097,NaN,1,0.389282918434945,1,1
0,0,1,0.991330331059266,0.00866966894073441,0.782055250255939,25,1,-0.0894736842105263,-0.0736861912878904,NaN,1,0.765453070169962,1,1
0,0,1,0.99951326313674,0.000486736863260208,0.66650442104558,1,1,-0.0789473684210526,-0.106019877138482,NaN,1,0.5,0,1
1,1,1,0.00969128302647059,0.99030871697353,0.748720060651141,2,1,0.0578947368421053,0.0723143044058658,NaN,1,0.336722861893443,0,1
0,0,1,0.999797283242615,0.000202716757384949,0.799303130981877,3,1,-0.1,-0.11510818198328,NaN,1,0.748619221202758,0,1
0,0,1,0.586248387449613,0.413751612550387,0.807699921703343,4,1,-0.0473684210526316,-0.00655784539199791,NaN,1,0.551628824811614,0,1
0,0,1,0.827369224996844,0.172630775003156,0.831349500375071,5,1,-0.0157894736842105,-0.0284878366878628,NaN,1,0.701462969799226,0,1
0,0,1,0.917761020927916,0.0822389790720842,0.853557288626987,6,1,-0.0263157894736842,-0.0421465444952111,NaN,1,0.776849811121289,0,1
1,1,1,0.056566163152989,0.943433836847011,0.871318324215254,7,1,0.0789473684210526,0.0481654759386134,NaN,1,0.186441469917818,0,1
0,1,0,0.291870115913566,0.708129884086434,0.855633594883647,8,0,-0.0263157894736842,0.0165033733220092,NaN,1,0.34543512044382,0,1
0,0,0,0.99966593581016,0.00033406418984045,0.750303418659572,9,1,-0.0894736842105263,-0.109953529088683,NaN,1,0.855395985986138,0,1
0,0,1,0.956848418641569,0.0431515813584314,0.775995224029614,10,1,-0.0263157894736842,-0.0522632322260246,NaN,1,0.728701441990408,0,1
0,0,1,0.999984508891034,1.54911089658697e-05,0.798269288587294,11,1,-0.1,-0.140782098235011,NaN,1,0.775986673085435,0,1
1,0,1,0.822916874453813,0.177083125546187,0.811847731847649,12,0,0.00526315789473684,-0.027962746539049,NaN,1,0.692632372832342,0,1
1,1,0,0.41452460828193,0.58547539171807,0.806857257425315,13,1,0.0578947368421053,0.00649812746855617,NaN,1,0.446689385927861,0,1
0,0,1,0.996837556580383,0.00316244341961723,0.823529713702061,14,1,-0.0789473684210526,-0.0855938130598185,NaN,1,0.804916419996302,0,1
1,1,0,0.243268575801292,0.756731424198708,0.80568183506841,15,1,0.0157894736842105,0.0209711592099039,NaN,1,0.333879511661339,0,1
1,1,1,0.211500199340205,0.788499800659795,0.816754920209302,16,1,0.0263157894736842,0.024161348670449,NaN,1,0.323621703034887,0,1
