id	choice	rt	condition	state	contrast_left	contrast_right	blocks	contrast	ecoperf	action	con_diff	correct	congruence	slider	mu
901	1	0.4019695	2	1	0.549111163	0.450888837	1	1	0	left	0.049111163	0	0	74.99999957	0.7499999957
901	1	0.3646641	2	0	0.42245666	0.57754334	1	1	1	right	0.07754334	1	0	41.40211621	0.4140211621
901	1	0.5525727	2	1	0.523257488	0.476742512	1	1	0	left	0.023257488	0	0	51.71957671	0.5171957671
901	0	0.3989841	2	0	0.453147519	0.546852481	1	1	0	right	0.046852481	0	0	50.26455026	0.5026455026
901	1	0.5316896	2	0	0.438842121	0.561157879	1	1	1	right	0.061157879	1	0	28.96825416	0.2896825416
901	1	0.5764698	2	0	0.459454016	0.540545984	1	1	1	left	0.040545984	0	0	24.73544947	0.2473544947
901	1	0.4731928	2	0	0.410956749	0.589043251	1	1	1	right	0.089043251	1	0	31.21693092	0.3121693092
901	0	0.342582	2	1	0.542880264	0.457119736	1	1	1	left	0.042880264	1	0	39.94709019	0.3994709019
901	0	0.4884347	2	1	0.599181964	0.400818036	1	1	1	left	0.099181964	1	0	41.00529083	0.4100529083
901	0	0.4459466	2	1	0.55237938	0.44762062	1	1	1	left	0.05237938	1	0	50.39682541	0.5039682541
901	1	0.5847353	2	1	0.505775234	0.494224766	1	1	0	left	0.005775234	0	0	76.71957655	0.7671957655
901	1	0.432345	2	1	0.544261299	0.455738701	1	1	0	left	0.044261299	0	0	84.12698422	0.8412698422
901	1	0.4557929	2	1	0.560429934	0.439570066	1	1	0	left	0.060429934	0	0	89.68254157	0.8968254157
901	1	0.6003202	2	0	0.481844909	0.518155091	1	1	1	right	0.018155091	1	0	78.70370448	0.7870370448
901	1	0.6322874	2	0	0.461290378	0.538709622	1	1	1	right	0.038709622	1	0	81.6137565	0.816137565
901	0	0.5922399	2	0	0.460887824	0.539112176	1	1	0	right	0.039112176	0	0	74.20634883	0.7420634883
901	0	0.5056729	2	0	0.40756991	0.59243009	1	1	0	right	0.09243009	0	0	74.99999957	0.7499999957
901	1	0.5430511	2	1	0.587282676	0.412717324	1	1	0	left	0.087282676	0	0	73.67724904	0.7367724904
901	1	0.3809312	2	1	0.542880264	0.457119736	1	1	0	left	0.042880264	0	0	81.48148102	0.8148148102
901	1	0.4310556	2	1	0.544261299	0.455738701	1	1	0	left	0.044261299	0	0	50	0.5
901	1	0.3068966	1	0	0.402177462	0.597822538	2	1	1	left	0.097822538	0	1	76.45502559	0.7645502559
901	1	0.4261687	1	0	0.491876171	0.508123829	2	1	1	left	0.008123829	0	1	75.39682601	0.7539682601
901	1	0.4658228	1	1	0.542883607	0.457116393	2	1	0	left	0.042883607	0	1	62.83068742	0.6283068742
901	0	0.490325	1	0	0.491530749	0.508469251	2	1	0	right	0.008469251	0	1	64.81481429	0.6481481429
901	1	0.650027	1	1	0.523914188	0.476085812	2	1	0	right	0.023914188	1	1	63.35978827	0.6335978827
901	0	0.5196805	1	1	0.549231477	0.450768523	2	1	1	left	0.049231477	1	1	67.328042	0.67328042
901	0	0.7149876	1	0	0.432386454	0.567613546	2	1	0	left	0.067613546	1	1	67.59259296	0.6759259296
901	1	0.511748401	1	1	0.572210139	0.427789861	2	1	0	left	0.072210139	0	1	81.74603198	0.8174603198
901	0	0.3551907	1	1	0.533607288	0.466392712	2	1	1	left	0.033607288	1	1	74.07407335	0.7407407335
901	0	0.5075895	1	1	0.532760691	0.467239309	2	1	1	left	0.032760691	1	1	76.71957655	0.7671957655
901	0	0.4954552	1	1	0.564593805	0.435406195	2	1	1	left	0.064593805	1	1	75.9259258	0.759259258
901	1	0.3328484	1	0	0.42762019	0.57237981	2	1	1	right	0.07237981	1	1	73.9418	0.739418
901	1	0.4472535	1	0	0.446555341	0.553444659	2	1	1	right	0.053444659	1	1	57.01058177	0.5701058177
901	0	0.351066	1	1	0.539646607	0.460353393	2	1	1	left	0.039646607	1	1	70.37037058	0.7037037058
901	0	0.5600705	1	0	0.491806326	0.508193674	2	1	0	right	0.008193674	0	1	49.86772487	0.4986772487
901	0	0.3709275	1	1	0.571833042	0.428166958	2	1	1	right	0.071833042	0	1	57.40740714	0.5740740714
901	1	0.3918753	1	0	0.467523956	0.532476044	2	1	1	right	0.032476044	1	1	59.12698465	0.5912698465
901	1	0.6048804	1	0	0.44310382	0.55689618	2	1	1	right	0.05689618	1	1	47.22222212	0.4722222212
901	0	0.5199346	1	1	0.542190474	0.457809526	2	1	1	right	0.042190474	0	1	64.81481429	0.6481481429
901	1	0.5877964	1	0	0.462816522	0.537183478	2	1	1	right	0.037183478	1	1	55.82010565	0.5582010565
901	0	0.4946659	1	1	0.545195724	0.454804276	3	0	0	left	0.045195724	1	1	56.48148145	0.5648148145
901	1	0.4945288	1	0	0.416551193	0.583448807	3	0	0	left	0.083448807	0	1	43.25396812	0.4325396812
901	1	0.3709118	1	0	0.475091589	0.524908411	3	0	0	left	0.024908411	0	1	61.90476226	0.6190476226
901	1	0.7861576	1	0	0.429416616	0.570583384	3	0	0	left	0.070583384	0	1	66.79894222	0.6679894222
901	1	0.911849	1	0	0.464698312	0.535301688	3	0	0	left	0.035301688	0	1	44.3121693	0.443121693
901	1	0.6587219	1	1	0.502206678	0.497793322	3	0	1	right	0.002206678	1	1	59.52381002	0.5952381002
901	0	0.5703754	1	0	0.40598084	0.59401916	3	0	1	left	0.09401916	1	1	55.0264549	0.550264549
901	1	0.6963572	1	1	0.565134983	0.434865017	3	0	1	right	0.065134983	1	1	65.6084661	0.656084661
901	1	0.5186191	1	1	0.548864485	0.451135515	3	0	1	right	0.048864485	1	1	67.06349211	0.6706349211
901	1	0.3854049	1	1	0.505663569	0.494336431	3	0	1	left	0.005663569	0	1	39.94709019	0.3994709019
901	1	0.7138001	1	1	0.549591944	0.450408056	3	0	1	right	0.049591944	1	1	62.43386205	0.6243386205
