term,pval
peBinned_condiff,0.016
peBinned,0.001
peBinned_condiff_cubicSpline,0.06
peBinned_condiff_deconv,0.007
pe_main,0.001
peCondiff_main,0.009
post_up,0.001
pupil,0.006
pe_NBC,0.001
peCondiff_NBC,0.024
pe_regressedRT,0.001
peCondiff_regressedRT,0.009
pe_additiveMdl,0.001
pe_het_linearInt,0.001
peCondiff_het_linearInt,0.015
pe_het_cubicSpline,0.001
peCondiff_het_cubicSpline,0.021
pe_het_deconvolution,0.001
peCondiff_het_deconvolution,0.026
