term,pval
pe_main,0.001
peCondiff_main,0.01
pe_mainCS,0.001
peCondiff_mainCS,0.018
pe_mainDeconv,0.001
peCondiff_mainDeconv,0.025
pe_NBC,0.001
peCondiff_NBC,0.03
pe_NBC_CS,0.001
peCondiff_NBC_CS,0.028
pe_NBC_deconv,0.002
peCondiff_NBC_deconv,0.023
pe_regressedRT,0.001
peCondiff_regressedRT,0.01
pe_regressedRT_CS,0.001
peCondiff_regressedRT_CS,0.018
pe_regressedRT_deconv,0.001
peCondiff_regressedRT_deconv,0.025
